- Random -,-90,-90
Aberdeen,-2.11,57.1526
Bath,-2.36,51.38
Belfast,-5.930,54.597
Birmingham,-1.9030,52.4796
Bradford,-1.75206,53.8
Brighton,-0.131312,50.842941
Bristol,-2.59,51.44
Cambridge,0.119,52.205
Cardiff,-3.187,51.495
Cork,-8.483277,51.903613
Coventry,-1.529,52.409056
Dublin,-6.253052,53.343993
Edinburgh,-3.198853,55.955351
Exeter,-3.550415,50.715591
Glasgow,-4.25354,55.869147
Gloucester,-2.254029,51.869708
Inverness,-4.220581,57.474497
Leeds,-1.550904,53.807139
Leicester,-1.144409,52.643063
Liverpool,-3.001099,53.409532
London,-0.122681,51.501904
Manchester,-2.254029,53.488046
Newcastle,-1.616822,54.977614
Norwich,1.283569,52.629729
Nottingham,-1.166382,52.955257
Oxford,-1.25885,51.75424
Peterborough,-0.242615,52.573012
Plymouth,-4.137268,50.373496
Portsmouth,-1.083069,50.816348
Sheffield,-1.473084,53.383328
Southampton,-1.412659,50.909961
Swansea,-3.950501,51.624837
